,0,50,100,150,200
0,0.47124138242877966,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982
50,0.4797028926025467,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
100,0.6237679126022168,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
150,0.7834635468214197,0.0,0.0,0.1353352832366127,0.08120116994196762
200,0.8646647167633874,0.0,0.0,0.0,0.1353352832366127
