,0,50,100,150,200,250,300,350
0,0.15732128693616437,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019
50,0.08212419028950187,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467
100,0.19156470601259654,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037
150,0.33590609919216696,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982
200,0.4797028926025467,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
250,0.6237679126022168,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
300,0.7834635468214197,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
350,0.8646647167633874,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127
