,0,50,100,150,200,250
0,0.32689998924920927,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037
50,0.33590609919216696,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982
100,0.4797028926025467,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
150,0.6237679126022168,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
200,0.7834635468214197,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
250,0.8646647167633874,0.0,0.0,0.0,0.0,0.1353352832366127
