,0,50,100,150,200,250,300,350,400,450
0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925
50,0.0025865886705354925,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192
100,0.021986003699551684,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019
150,0.08212419028950185,0.0,0.0,0.13533528323661267,0.0812011699419676,0.15969563421920296,0.14406501999966995,0.1437967934103798,0.14434139317957034,0.10944051572309464
200,0.19156470601259654,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037
250,0.3359060991921669,0.0,0.0,0.0,0.0,0.13533528323661267,0.0812011699419676,0.15969563421920296,0.14406501999966995,0.1437967934103798
300,0.4797028926025467,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
350,0.6237679126022168,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
400,0.7834635468214197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
450,0.8646647167633874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127
