,0,50,100,150,200,250,300,350,400,450,500
0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0
50,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925
100,0.0025865886705354925,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192
150,0.02198600369955168,0.0,0.0,0.13533528323661267,0.0812011699419676,0.15969563421920296,0.14406501999966995,0.1437967934103798,0.14434139317957034,0.10944051572309464,0.060138186589950175
200,0.08212419028950185,0.0,0.0,0.0,0.13533528323661267,0.0812011699419676,0.15969563421920296,0.14406501999966995,0.1437967934103798,0.14434139317957034,0.10944051572309464
250,0.19156470601259654,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037
300,0.33590609919216696,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982
350,0.4797028926025467,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
400,0.6237679126022168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
450,0.7834635468214197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
500,0.8646647167633874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127
