,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750
0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192,0.0025865886705354925
350,0.0025865886705354925,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019,0.019399415029016192
400,0.021986003699551684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467,0.06013818658995019
450,0.08212419028950187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037,0.10944051572309467
500,0.19156470601259654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037
550,0.33590609919216696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982
600,0.4797028926025467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
650,0.6237679126022168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
700,0.7834635468214197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
750,0.8646647167633874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353352832366127
