,0,50,100,150,200,250,300
0,0.2174594735261145,0.0812011699419676,0.15969563421920296,0.14406501999966995,0.1437967934103798,0.14434139317957034,0.10944051572309464
50,0.19156470601259654,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982,0.14434139317957037
100,0.33590609919216696,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997,0.14379679341037982
150,0.4797028926025467,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203,0.14406501999966997
200,0.6237679126022168,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762,0.159695634219203
250,0.7834635468214197,0.0,0.0,0.0,0.0,0.1353352832366127,0.08120116994196762
300,0.8646647167633874,0.0,0.0,0.0,0.0,0.0,0.1353352832366127
